feature,importance,fold
PREV_NAME_CASH_LOAN_PURPOSE_BUYINGANEWCAR_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_BUYINGAUSEDCAR_MEAN,59,1
PREV_NAME_CASH_LOAN_PURPOSE_CARREPAIRS_MEAN,44,1
PREV_NAME_CASH_LOAN_PURPOSE_EDUCATION_MEAN,15,1
PREV_NAME_CASH_LOAN_PURPOSE_EVERYDAYEXPENSES_MEAN,23,1
PREV_NAME_CASH_LOAN_PURPOSE_FURNITURE_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_GASIFICATIONWATERSUPPLY_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_HOBBY_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_JOURNEY_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_MEDICINE_MEAN,77,1
PREV_NAME_CASH_LOAN_PURPOSE_MONEYFORATHIRDPERSON_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_OTHER_MEAN,191,1
PREV_NAME_CASH_LOAN_PURPOSE_PAYMENTSONOTHERLOANS_MEAN,5,1
PREV_NAME_CASH_LOAN_PURPOSE_PURCHASEOFELECTRONICEQUIPMENT_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_REFUSALTONAMETHEGOAL_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_REPAIRS_MEAN,139,1
PREV_NAME_CASH_LOAN_PURPOSE_URGENTNEEDS_MEAN,120,1
PREV_NAME_CASH_LOAN_PURPOSE_WEDDINGGIFTHOLIDAY_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_XAP_MEAN,64,1
PREV_NAME_CASH_LOAN_PURPOSE_XNA_MEAN,464,1
PREV_NAME_CASH_LOAN_PURPOSE_NAN_MEAN,0,1
PREV_NAME_CONTRACT_STATUS_APPROVED_MEAN,458,1
PREV_NAME_CONTRACT_STATUS_CANCELED_MEAN,401,1
PREV_NAME_CONTRACT_STATUS_REFUSED_MEAN,305,1
PREV_NAME_CONTRACT_STATUS_UNUSEDOFFER_MEAN,85,1
PREV_NAME_CONTRACT_STATUS_NAN_MEAN,0,1
PREV_NAME_PAYMENT_TYPE_CASHTHROUGHTHEBANK_MEAN,527,1
PREV_NAME_PAYMENT_TYPE_CASHLESSFROMTHEACCOUNTOFTHEEMPLOYER_MEAN,0,1
PREV_NAME_PAYMENT_TYPE_NONCASHFROMYOURACCOUNT_MEAN,63,1
PREV_NAME_PAYMENT_TYPE_XNA_MEAN,649,1
